实验编号,参数名称,max_depth,min_samples_leaf,训练样本数,验证样本数,验证准确率,使用特征数,最重要特征,最高重要性,规则总数,覆盖样本总数,准确样本总数,平均规则准确率,总体准确率,综合评分,输出目录
42,depth6_leaf2,6,2,44,13,0.3077,4,7天平均气温,2.0000,4,15,15,1.0000,1.0000,15.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth6_leaf2
43,depth6_leaf3,6,3,44,13,0.3846,4,7天平均气温,1.5000,3,17,17,1.0000,1.0000,17.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth6_leaf3
44,depth6_leaf4,6,4,44,13,0.3846,4,7天平均气温,1.5000,3,17,17,1.0000,1.0000,17.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth6_leaf4
45,depth6_leaf5,6,5,44,13,0.3077,4,7天平均气温,1.3182,2,13,13,1.0000,1.0000,13.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth6_leaf5
46,depth6_leaf6,6,6,44,13,0.3077,4,7天平均气温,1.3182,1,8,8,1.0000,1.0000,8.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth6_leaf6
47,depth6_leaf7,6,7,44,13,0.3077,4,7天平均气温,1.3182,1,8,8,1.0000,1.0000,8.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth6_leaf7
48,depth6_leaf8,6,8,44,13,0.5385,4,7天累积日照时数,1.2500,1,8,8,1.0000,1.0000,8.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth6_leaf8
49,depth6_leaf9,6,9,44,13,0.6154,4,7天累积日照时数,1.2500,0,0,0,0.0000,0.0000,0.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth6_leaf9
50,depth6_leaf10,6,10,44,13,0.7692,4,7天累积日照时数,1.2500,0,0,0,0.0000,0.0000,0.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth6_leaf10
51,depth7_leaf1,7,1,44,13,0.4615,5,7天平均气温,2.9545,17,23,23,1.0000,1.0000,23.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth7_leaf1
52,depth7_leaf2,7,2,44,13,0.3846,5,7天平均气温,2.3409,5,16,16,1.0000,1.0000,16.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth7_leaf2
53,depth7_leaf3,7,3,44,13,0.2308,5,7天平均气温,1.8409,3,16,16,1.0000,1.0000,16.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth7_leaf3
54,depth7_leaf4,7,4,44,13,0.2308,4,7天平均气温,1.6818,3,17,17,1.0000,1.0000,17.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth7_leaf4
55,depth7_leaf5,7,5,44,13,0.3077,4,7天平均气温,1.3182,2,13,13,1.0000,1.0000,13.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth7_leaf5
56,depth7_leaf6,7,6,44,13,0.3077,4,7天平均气温,1.3182,1,8,8,1.0000,1.0000,8.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth7_leaf6
57,depth7_leaf7,7,7,44,13,0.3077,4,7天平均气温,1.3182,1,8,8,1.0000,1.0000,8.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth7_leaf7
58,depth7_leaf8,7,8,44,13,0.5385,4,7天累积日照时数,1.2500,1,8,8,1.0000,1.0000,8.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth7_leaf8
59,depth7_leaf9,7,9,44,13,0.6154,4,7天累积日照时数,1.2500,0,0,0,0.0000,0.0000,0.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth7_leaf9
60,depth7_leaf10,7,10,44,13,0.7692,4,7天累积日照时数,1.2500,0,0,0,0.0000,0.0000,0.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth7_leaf10
61,depth8_leaf1,8,1,44,13,0.4615,5,7天平均气温,3.3182,25,35,35,1.0000,1.0000,35.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth8_leaf1
62,depth8_leaf2,8,2,44,13,0.4615,5,7天平均气温,2.6591,8,24,24,1.0000,1.0000,24.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth8_leaf2
63,depth8_leaf3,8,3,44,13,0.3077,5,7天平均气温,1.9773,3,15,15,1.0000,1.0000,15.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth8_leaf3
64,depth8_leaf4,8,4,44,13,0.2308,4,7天平均气温,1.6818,3,17,17,1.0000,1.0000,17.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth8_leaf4
65,depth8_leaf5,8,5,44,13,0.3077,4,7天平均气温,1.3182,2,13,13,1.0000,1.0000,13.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth8_leaf5
66,depth8_leaf6,8,6,44,13,0.3077,4,7天平均气温,1.3182,1,8,8,1.0000,1.0000,8.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth8_leaf6
67,depth8_leaf7,8,7,44,13,0.3077,4,7天平均气温,1.3182,1,8,8,1.0000,1.0000,8.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth8_leaf7
68,depth8_leaf8,8,8,44,13,0.5385,4,7天累积日照时数,1.2500,1,8,8,1.0000,1.0000,8.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth8_leaf8
69,depth8_leaf9,8,9,44,13,0.6154,4,7天累积日照时数,1.2500,0,0,0,0.0000,0.0000,0.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth8_leaf9
70,depth8_leaf10,8,10,44,13,0.7692,4,7天累积日照时数,1.2500,0,0,0,0.0000,0.0000,0.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth8_leaf10
